ADVANCE,Rating Improvement,21140,400,400
DISCNT,Discount,29654,401,401
CCHOCOLATES,Chef and Chocolates,24381,405,405
VOLCONTROL,Volume Control,42163,409,409
HOTCOLD,Is it hot or cold,30734,410,410
HS08TEST,ATM,367252,410,410
FOOTCUP,Football Cup,25710,412,412
FBC,Fill the Bucket,33646,419,419
FLOW002,Find Remainder,186687,421,421
PASSTHEEXAM,Pass the Exam,23646,424,424
MANIPULATE,Ezio and Guards,38657,427,427
CMASKS,Chef and Masks,19662,432,432
MAXIMUMSUBS,Maximum Submissions,27679,435,435
EXPIRY,Expiring Bread,21492,440,440
AIANALYSE,AI Analysing Code,22796,445,445
TVDISC,TV Discount,26262,447,447
TYRE,Tyre problem,29400,452,452
FLOW006,Sum of Digits,183348,455,455
INSTNOODLE,Chef and Instant Noodles,32938,456,456
BUDGET_,Monthly Budget,22269,456,456
CREDSCORE,Credit score,32514,459,459
FLOW004,First and Last Digit,151485,461,461
INTEST,Enormous Input Test,258824,464,464
PRACTICEPERF,Practice makes us perfect,43019,467,467
COURSEREG,Course Registration,27769,470,470
INSURANCE,Insurance,26917,475,475
INCRIQ,Increase IQ,31352,478,478
BATTERYLOW,Battery Low,36124,479,479
MANGOES,The Mango Truck,18167,482,482
WATERFLOW,Bucket and Water Flow ,21588,483,483
F1RULE,Miami GP,28140,487,487
DOMINANT,Dominant Army,19369,488,488
SONGS,Playlist,17090,489,489
CHEFCHOCO,Chef and Chocolates,21088,492,492
CHEAPFOOD,Best Coupon,25595,496,496
CGYM,Chef and Gym,15920,496,496
SUBSCRIBE_,Subscriptions,24415,504,504
WATERCOOLER1,The Cooler Dilemma 1,25563,506,506
JASSIGNMENTS,Janmansh and Assignments,23454,513,513
SHOPCHANGE,Shopping Change,31851,526,526
JCOINS,Janmansh and Coins,21061,527,527
OFFICE,Chef in his Office,29126,532,532
AMR15A,Mahasena,89423,533,533
CREDCOINS,CRED Coins,18813,539,539
SALESEASON,Sale Season,28211,541,541
HELIUM3,Chef and NextGen,37651,562,562
NOTEBOOK,Count the Notebooks,33476,563,563
SUGARCANE,Sugarcane Juice Business,23554,563,563
CHEFCAND,Chef and Candies,20703,570,570
TRUESCORE,Is the Score Consistent,22425,572,572
THREETOPICS,The Three Topics,24892,573,573
TODOLIST,Problems in your to-do list,28286,580,580
ACCURACY,High Accuracy,16105,580,580
ACTEMP,Air Conditioner Temperature,24388,584,584
FLOW007,Reverse The Number,165106,588,588
TEA,Chef Drinks Tea,12922,591,591
BIRDFARM,Chef and Bird farm,17620,591,591
SST,Sasta Shark Tank,22950,592,592
NIBBLE,Good Program,26270,593,593
QUALIFY,Qualify the round,20068,594,594
MINCARS,Minimum Cars required,21818,608,608
JENGA,Jenga Night,16286,613,613
START01,Number Mirror,199259,614,614
DISCUS,Discus Throw,24368,622,622
WINNERR,Determine the Winner,19880,626,626
MAXTASTE,Maximise the Tastiness,23434,627,627
MOVIE2X,Watching Movies at 2x,24784,628,628
FLOW016,GCD and LCM,55727,635,635
POLTHIEF,Police and Thief,18222,639,639
BATH,Bath in Winters,20398,643,643
FINDSHOES,Finding Shoes,25112,646,646
FCTRL2,Small factorials,109353,648,648
TRANSFORM,Mario and Transformation,12833,649,649
BULLET,Mario and Bullet,14472,650,650
C_RATING,Chess Ratings,15774,651,651
DNASTRAND,Complementary Strand in a DNA,19037,660,660
CHANGEPOS,Change Row and Column Both,15465,660,660
CHEFBOTTLE,Chef and Water Bottles,22295,662,662
TSORT,Turbo Sort,108945,667,667
FSQRT,Finding Square Roots,98475,668,668
HIGHSCORE,Score High,21963,672,672
LASTLEVELS,The Last Levels,17461,679,679
BLACKJACK,Blackjack,25125,681,681
FILLCANDIES,Fill Candies,16069,681,681
CHESSDIST,Chessboard Distance,18178,690,690
VALENTINE,Valentine is Coming,21631,691,691
MYSERVE,It is My Serve,12801,691,691
CHEFAPPS,Chef and his Apps,15447,702,702
MINCOINS,Minimum number of coins,17599,711,711
SELFDEF,Self Defence Training,22650,716,716
CRICUP,Cup Finals,17866,716,716
FLOORS,Too many Floors,14518,717,717
CHEFPAGES,Important Pages on CodeChef,14148,719,719
DECINC,Decrement OR Increment,69816,722,722
AORB,A or B,17256,728,728
PASSORFAIL,Pass or Fail,46558,730,730
FLOW017,Second Largest,87255,730,730
CYCLICQD,Cyclic Quadrilateral,32730,735,735
POLYBAGS,Too many items,23128,738,738
ACS,Count the ACs,19172,739,739
CHEFRACES,Chef and Races,21618,745,745
BLACKCEL,Black cells in a chessboard,30583,746,746
DIFFSUM,Sum OR Difference,64750,749,749
FLOW013,Valid Triangles,77787,750,750
PRESENTS,Presents for Cheffina,17648,757,757
FLOW018,Small Factorial,78029,760,760
T20MCH,Possible Victory,33261,769,769
JGAMES,Janmansh and Games,16479,772,772
LUCKFOUR,Lucky Four,132674,775,775
BUYLAMP,Buy Lamps,17806,775,775
FLOW008,Helping Chef,73639,776,776
CHN15A,Mutated Minions,40352,777,777
TEST,Life, the Universe, and Everything,230183,778,778
SALE,Get Lowest Free,15893,778,778
MINFLIPS,Minimum number of Flips,15652,781,781
ECOCLASS,Economics Class,13042,787,787
RCBPLAY,RCB and Playoffs,35122,788,788
TLG,The Lead Game,80067,790,790
RECENTCONT,Recent contest problems,20328,793,793
DPOLY,Degree of Polynomial,19009,793,793
PRB01,Primality Test,53132,794,794
WATERCOOLER2,The Cooler Dilemma 2,23089,798,798
DNASTORAGE,DNA Storage,14970,801,801
LAZYCHF,Lazy Chef,41618,801,801
HARDBET,Hardest Problem Bet,27835,803,803
WORDLE,Wordle,27076,804,804
CREDITS,Complete the credits,13099,809,809
TYRES,Cars and Bikes,23752,809,809
BOTTOM,Guess the bottom face,12046,815,815
NEARESTCOURT,Nearest Court,24508,819,819
FRUITCHAAT,Chef and His Fruit Stand,19298,822,822
SUPCHEF,The Preparations,26468,823,823
FLOW011,Gross Salary,40366,823,823
GENE01,Genes,18055,826,826
SNAPE,Snape and Ladder,17252,828,828
PALL01,The Block Game,57147,830,830
MILEAGE,Mileage matters,20072,831,831
EITA,Maximum Production,28527,833,833
GOODWEAT,Good Weather,25334,835,835
FLOW014,Grade The Steel,35002,838,838
LOOP,Circular Track,17858,838,838
FLOW005,Smallest Numbers of Notes,51786,839,839
VOWELTB,Is it a VOWEL or CONSONANT,30674,840,840
MIXTURE,Which Mixture,33441,841,841
CHSFORMT,Chess Format,24038,844,844
BMI,Body Mass Index,20416,845,845
BULBLIFE,Good Quality Bulbs,12665,846,846
FLOW010,Id and Ship,62997,847,847
SOCKS1,Valid Pair,39459,851,851
EQUALISE,Make A and B equal,23513,851,851
INCREAR,Equal Integers,19581,852,852
COCONUT,Summer Heat,47662,852,852
PERMUT2,Ambiguous Permutations,28720,853,853
SLOOP,Coldplay,26889,854,854
CHEFTRANS,Chef and Vacation Transportation ,15747,855,855
VISA,Chefland Visa,20170,857,857
AREAPERI,Area OR Perimeter,27822,858,858
DEVSPORTS,Devendra and Water Sports,19060,859,859
HDIVISR,Highest Divisor,47007,860,860
PROBCAT,Problem Category,25936,860,860
CONN,Construct N,15528,860,860
FLOW009,Total Expenses,43826,861,861
CARCHOICE,Car Choice,16628,861,861
ALTERADD,Alternate Additions,18043,863,863
WHICHDIV,Which Division,13645,867,867
BADMINTON,Badminton Serves,16635,869,869
SUMTRIAN,Sums in a Triangle,32985,869,869
ODDSEVENS,Odds and Evens,13413,872,872
CHEFCONTEST,Chef and Contest,11273,872,872
RELATIVE,Relativity,27838,872,872
GROUPASSGN,Group Assignment,14151,872,872
NUM239,Counting Pretty Numbers,29136,873,873
DRUNKALK,Drunk Alcoholic,12615,874,874
CHFRICH,Richie Rich,34148,878,878
CCISLAND,Chef On Island,29593,878,878
FCTRL,Factorial,93371,878,878
FACEDIR,Find the Direction,21767,880,880
CARRYGOLD,Gold Mining,20561,880,880
LEAGUE,Farmers League,10599,883,883
UTKPLC,Utkarsh and Placement tests,22481,886,886
CHEFRUN,Secret Recipe,9965,888,888
CHFPROFIT,Chef and Profits,19306,889,889
CHEFVACATION,Chef on Vacation,18344,891,891
OLYRANK,Olympics Ranking,41285,893,893
SNCKYEAR,Chef and SnackDown,35006,895,895
CHEFBARBER,Chef and the Hair Salon,25740,895,895
MAYOR_PARTY,Peaceful Party,15150,898,898
PSGRADE,Passing Marks,20852,904,904
AVOIDCONTACT,Avoid Contact,23405,907,907
SUNDAY,Count the Holidays,19645,907,907
HOWMANY,HOW MANY DIGITS DO I HAVE,24592,908,908
RATING,The Rating Dilemma,16536,909,909
UWCOI21A,Hidden Numbers,11339,917,917
SAVWATER,A - Save Water Save Life,12386,918,918
SOLBLTY,Solubility,37207,922,922
SHOEFIT,Shoe Fit,16622,925,925
PENALTY,Penalty Shots,13775,925,925
MARBLES,Marbles,10615,925,925
REMISS,Chef and Remissness,63368,928,928
PAIREQ,Make all equal using Pairs,16282,928,928
HOOPS,Hoop Jump,26195,930,930
CHEFSLP,Chef and Pairing Slippers,12657,930,930
CHFCLASS,Akash and Missing Class,17829,931,931
PRICECON,Chef and Price Control,41501,931,931
NOTIME,No Time to Wait,31526,932,932
FIRSTANDLAST,First and Last,12455,932,932
MINDAYSRET,Back to Campus,15842,933,933
WCC,World Chess Championship,18460,935,935
RECTSQ,Farmer And His Plot,14243,936,936
CIELRCPT,Ciel and Receipt,55346,936,936
TWOVSTEN,Two vs Ten,32032,936,936
CARRANGE,Car Range,5345,938,938
VDATES,Vaccine Dates ,21511,938,938
COMPRESSVD,Compress the Video,19005,940,940
COINS,Bytelandian gold coins,25788,944,944
JMARKET,Janmansh at Fruit Market,15002,947,947
DIGARR,Rearranging digits to get a multiple of 5,13504,949,949
CHFINTRO,Chef and Interactive Contests,20746,951,951
THREEQ,The Old Saint And Three Questions,10231,954,954
MARARUN,Marathon,18199,955,955
COOK82A,La Liga,4328,956,956
TWOROOKS,Two Rooks,10368,957,957
COMPCAND,Can You Eat It,9869,960,960
PPSUM,Puppy and Sum,46653,961,961
CCOOK,Chef and Cook-Off,18636,961,961
JDELAY,Judging Delay,12770,964,964
CYBV,The Begining Era Of Cyberverse,8182,964,964
CHFSPL,Chef and Spells,20273,965,965
CRICRANK,Cricket Ranking,19739,966,966
GRIDBL,Fill The Grid,17969,968,968
JOINING,Joining Date,12375,970,970
WATESTCASES,WA Test Cases,20360,976,976
ON_OFF,N Buttons 1 Bulb,18894,977,977
MODULO3,Divisible by 3,16081,978,978
PLAYPIAN,Play Piano,10094,980,980
LOCKDRAW,Chef and Lockout Draws,16312,982,982
BOMBTHEBASE,Bomb the base,12869,982,982
DOLL,Red Light, Green Light,19579,984,984
CO92JUDG,Chef Judges a Competition,13335,984,984
TRISQ,Fit Squares in Triangle,41476,985,985
MATCHES,Playing with Matches,30260,986,986
CHN09,Malvika is peculiar about color of balloons,20740,988,988
NAICHEF,Naive Chef,15131,990,990
CAN_REACH,Can_Reach,13499,990,990
POPCORN,Vishesh and his Popcorn Combo,11384,990,990
FRGAME,Game between friends,12658,991,991
KEPLERSLAW,Keplers Law,22479,992,992
ONP,Transform the Expression,19510,992,992
DARLIG,Dark Light,15745,994,994
KTTABLE,Kitchen Timetable,34192,997,997
BLITZ3_2,Chess Match,22021,998,998
LUCKYFR,Lucky Four,12063,998,998
EZSPEAK,Easy Pronunciation,18901,1000,1000
ATM2,ATM Machine,40947,1001,1001
PROGLANG,Programming Languages,35954,1001,1001
SLOWSOLN,Slow Solution,14491,1003,1003
ZOOZ,Zero Ones Equal One Zeros,14999,1009,1009
MISSP,Chef and Dolls,24106,1012,1012
ZCOSCH,How much Scholarship,22125,1012,1012
ADJSUMPAR,Adjacent Sum Parity,13050,1013,1013
SNAKPROC,Snake Procession,37511,1014,1014
MUFFINS3,Packaging Cupcakes,73009,1023,1023
DIET,Chef Diet,14063,1025,1025
BREAKSTICK,Break the Stick,14985,1026,1026
ENCMSG,Encoding Message,12476,1027,1027
URCALC,Program Your Own CALCULATOR,13380,1028,1028
CANDY123,Bear and Candies 123,19527,1028,1028
ELECTIONS,Elections in Chefland,19089,1034,1034
TABLET,Buying New Tablet,21104,1037,1037
EVENTUAL,Even-tual Reduction,16064,1040,1040
CHEFARRP,Chef and Subarrays,17686,1041,1041
AIRLINE,Airline Restrictions,35447,1042,1042
WEIGHTBL,Weight Balance,21821,1045,1045
RECIPE,Cutting Recipes,30276,1047,1047
CHEFSTUD,Chef and his Students,11056,1047,1047
ENDSORTED,End Sorted,13018,1049,1049
L56GAME,Chef and Game with Sequence,7826,1051,1051
ATTENDU,Minimum Attendance Requirement,16831,1053,1053
CNDLOVE,Candy Love,10891,1054,1054
EQCARDGAME,Equal Card Game,16858,1058,1058
CHNGIT,Change It,11137,1061,1061
CFRTEST,Devu and friendship testing,20214,1061,1061
FODCHAIN,Food Chain,17875,1062,1062
LOSTWKND,Lost Weekends,15926,1063,1063
PIZZA_BURGER,Hungry Ashish,14289,1064,1064
MASKPOL,Mask Policy,14276,1064,1064
HEADBOB,Tanu and Head-bob,32479,1065,1065
STRP,String protocol,15318,1065,1065
ELEVSTRS,From heaven to earth,16291,1066,1066
PSEUDOSORT,Pseudo Sorted Array,14406,1067,1067
CSTOCK,Chef and Stock Prices ,14690,1069,1069
BSCOST,Binary String Cost,11064,1069,1069
PRIME1,Prime Generator,17473,1069,1069
THREEFR,Three Friends,10861,1074,1074
TRICOIN,Coins And Triangle,37968,1075,1075
QUEENATTACK,The Attack of Queen,12612,1076,1076
COVID_19,Covid and Theatre Tickets,13658,1077,1077
DIGSMPAR,Digit Sum Parities,11500,1077,1077
UWCOI20A,Peak Finding,7348,1078,1078
CUTBOARD,Cut the Board,11194,1081,1081
COMM3,Three Way Communications,21059,1083,1083
TTENIS,Chef and Table Tennis,10841,1085,1085
MAGICHF,Magician versus Chef,16193,1088,1088
DANOW,Danny Wants To Know,3832,1088,1088
EQUALSTRING,Equal Strings,12788,1092,1092
GRPASSN,Group Assignment,9640,1092,1092
HOLES,Holes in the text,32806,1093,1093
JOHNY,Uncle Johny,42632,1093,1093
WATSCORE,That Is My Score!,26718,1094,1094
CHEFSTR1,Chef and Strings,33985,1094,1094
PROC18A,The Great Run,8902,1097,1097
IMDB,Motivation,18499,1098,1098
PATHPAR,Path Parity,13150,1098,1098
FRIMEET,Friends Meetup,9051,1098,1098
ADACRA,Ada and crayons,8286,1099,1099
CHSERVE,Chef and Serves,18865,1101,1101
MSNSADM1,Football,32941,1102,1102
CHEGLOVE,Chef and Glove,17228,1104,1104
LAPTOPREC,Laptop Recommendation ,8592,1104,1104
EXUNA,Weird Modulo Problem ,5351,1104,1104
S01E01,The One Where It All Began,7851,1106,1106
CLLCM,Chef vs Doof,9471,1108,1108
PLAYSTR,Playing with Strings,12923,1108,1108
DIVIDING,Dividing Stamps,15776,1109,1109
EUREKA,N Queens Puzzle Solved !,24513,1109,1109
CHEFSTEP,Chef and Steps,15515,1110,1110
ICM0013,Lucky Boundaries,5338,1112,1112
SRTARR,Sort the String,12090,1112,1112
VOTERS,Discrepancies in the Voters List,14922,1114,1114
ALTSTR,Alternating String,14411,1116,1116
ICL1902,FlatLand,14439,1117,1117
TRAVELPS,Travel Pass,28867,1118,1118
POOK,Game of Pooks,7059,1121,1121
CHFDBT,Akash and Function,15755,1121,1121
CHEFSOCK,Chef and Socks,3989,1122,1122
CHEFCBA,Chef and Proportion,4421,1122,1122
ALPHABET,Studying Alphabet,30573,1123,1123
XYSTR,Chef and String,35855,1124,1124
TSTROBOT,Testing Robot,9461,1124,1124
CRDGAME,Chef and Card Game,31664,1125,1125
KOL15A,Processing a string,11289,1125,1125
FRUITS,Chef and Fruits,26026,1126,1126
DEVARRAY,Devu and an Array,11526,1126,1126
SIGNMOVE,Sign Moves,13562,1126,1126
MATPAN,Mathison and pangrams,9339,1127,1127
NONADJFLIP,Non Adjacent Flips,13595,1128,1128
XOR_PAL,Xor Palindrome,12590,1129,1129
CHFTIRED,Chef and Difficult Contests,14853,1130,1130
VALIDMIN,Valid Minimum,18008,1132,1132
DATATYPE,Fit in Data Type,12260,1133,1133
BUYING2,Buying Sweets,15284,1133,1133
RPD,Easy Math,11621,1133,1133
DOUBLE,Double Strings,21697,1134,1134
EID,Chef and Eid,9252,1135,1135
EXAM1,Multiple Choice Exam,8814,1135,1135
CONFLIP,Coin Flip,47679,1135,1135
GAMEOFPILES1,Game of Piles Version 1,11257,1135,1135
CIELAB,Ciel and A-B Problem,56781,1136,1136
MDL,Medel,9470,1139,1139
TWODISH,Two Dishes,16033,1140,1140
AVGOF3,Average of Three,18029,1141,1141
LECANDY,Little Elephant and Candies,39380,1141,1141
SIMDISH,Similar Dishes,17047,1142,1142
CK87MEDI,Chef and Employment Test,10059,1142,1142
CENS20D,Priya and AND,8793,1143,1143
LCH15JAB,Piece of cake,17884,1144,1144
KNIGHT2,Journey of the Knight,10804,1144,1144
RECTANGL,Rectangle,43830,1146,1146
CHEFWORK,Workers,13352,1146,1146
DWNLD,Download file,10487,1147,1147
UTMOPR,Strange operations,7429,1148,1148
COLOR,Chef And Coloring,17895,1148,1148
POTATOES,Farmer Feb,28353,1148,1148
ATTND,Attendance,10941,1148,1148
SEGM01,Bear and Segment 01,11029,1150,1150
ANDOR,AND Plus OR,10853,1151,1151
GIFTSRC,Find Your Gift,12856,1157,1157
DIAGMOVE,Diagonal movement,15900,1157,1157
LAPIN,Lapindromes,82840,1159,1159
XLSQUARE,Large Square,14770,1160,1160
HOLIDAYS,Lazy Salesman,11331,1161,1161
INFERNO,Infernos,9223,1162,1162
RRJOKE,Good Joke!,10905,1163,1163
BALREV,Balanced Reversals,13488,1165,1165
LUCKYSTR,Little Elephant and Strings,5531,1166,1166
CLIPLX,IPL and RCB,12377,1167,1167
HOSTELROOM,Hostel Room,10632,1169,1169
DOMINANT2,Dominant Element,13911,1171,1171
FRIEZA,Immortal Frieza,2130,1172,1172
PAJAPONG,Ping Paja Pong,7141,1172,1172
RNDPAIR,Random Pair,5412,1174,1174
BIT2A,A - Books,9783,1175,1175
MOVIEWKN,Movie Weekend,12705,1175,1175
GROUPS,Chef and Groups,26804,1176,1176
NOTUNIT,Dazzling GCD Pair,14738,1177,1177
POSPROD,Positive Products,9022,1178,1178
PRODUCT,The product mystery,14354,1180,1180
MAXCOUNT,Count of Maximum,14957,1180,1180
PAWRI,Pawri Meme,14682,1182,1182
THREEBOX,Three Boxes,23392,1183,1183
PERFCONT,A Balanced Contest,16402,1184,1184
DIVBYI,Divisible by i ,10890,1184,1184
CHEFNWRK,Chef and Work,11708,1185,1185
C00K0FF,Chef and Cook-Off Contests,8040,1185,1185
ANKTRAIN,Train Partner,11671,1187,1187
BURGERS2,Hungry Chef,14497,1187,1187
CHNUM,Chef and Number Game,15490,1188,1188
BUY1GET1,Buy1-Get1,12287,1191,1191
ARRAYRET,Retrieve the Array,10254,1193,1193
SPLITN,Split N,15807,1195,1195
ANUUND,Ups and Downs,10724,1198,1198
TRACE,Trace of Matrix,5068,1198,1198
ERROR,Chef and Feedback,25674,1199,1199
TREE2,A Problem on Sticks,27066,1199,1199
HOWMANYMAX,How Many Maximums,9450,1202,1202
AVG,Average Number,16089,1202,1202
SC31,Weapon Value,14464,1204,1204
BROKPHON,Broken Telephone,15393,1204,1204
STUDVOTE,Drumpf for President!,5967,1205,1205
BALLOON,ICPC Balloons,18300,1205,1205
RECNDSTR,Chef and String,9640,1206,1206
BRACKETS,Brackets,8516,1207,1207
PERMEXIS,Watson asks Does Permutation Exist,5604,1207,1207
LONGSEQ,Chef and digits of a number,29766,1209,1209
CFMM,Making a Meal,8970,1214,1214
HILLS,Jumping in the hills,6590,1216,1216
NEWPIECE,New Piece,18053,1216,1216
VCS,Version Control System,17335,1217,1217
SUBTASK,A Subtask Problem,16884,1217,1217
REPEAT,Odd Repeat,15705,1218,1218
VACCINE2,Vaccine Distribution,26095,1219,1219
COVID19,Coronavirus Spread,24989,1219,1219
MXEVNSUB,Maximum Length Even Subarray,14903,1221,1221
DAILY,Daily Train,3085,1222,1222
SIMPSTAT,Simple Statistics,9762,1222,1222
COUPON2,Chef and Coupon,18936,1222,1222
CHFPARTY,Chef and Party,10174,1223,1223
CALPOWER,Cool Name,7335,1223,1223
EVMHACK,EVM Hacking,12308,1223,1223
DIVAB,To Divide or Not To Divide,14997,1224,1224
FFL,Chef in Fantasy League,13240,1225,1225
GRIDXOR,Sarthak and his Magic Grid,13116,1227,1227
NW1,Days in Month,7456,1228,1228
BESTBATS,Top Batsmen,4766,1228,1228
CHFM,Chef and Mean  ,14155,1229,1229
S02E10,The One with Russ,6170,1230,1230
SPALNUM,Sum of palindromic numbers,8069,1230,1230
TWOTRAINS,Two Trains,14979,1230,1230
CRDGAME3,Another Card Game Problem,28627,1230,1230
GOODSET,A Good Set,14251,1231,1231
TRUEDARE,Truth and Dare,10823,1231,1231
HORSES,Racing Horses,58827,1231,1231
OJUMPS,Chef-jumping,16356,1232,1232
EQUALCOIN,Equal Coins,25240,1233,1233
MINORMAX,Minimum or Maximum,10490,1233,1233
MODEFREQ,Mode of Frequencies,10717,1234,1234
DISTCODE,Distinct Codes,3901,1234,1234
ADADISH,Ada and Dishes,17088,1237,1237
DISABLEDKING,Disabled King,9302,1237,1237
STRPALIN,Palindromic substrings,13653,1238,1238
CHEFAPAR,Chef and His Apartment Dues,10327,1238,1238
SWAPCW,Swapping Chefs Way,8447,1238,1238
SUBANAGR,Subanagrams,2092,1239,1239
LADDU,Laddu,21833,1241,1241
CLOSEVOWEL,Closest Vowels,10828,1241,1241
DOUBLEDDIST,Doubled Distances,6739,1241,1241
COPS,Cops and the Thief Devu,32955,1242,1242
CHEFSETC,Chef and Subset,3762,1243,1243
NOCODING,Code Crazy Minions,5143,1244,1244
COOMILK,Bear and Milky Cookies,6240,1244,1244
PCJ18A,Chef and Secret Ingredient,5356,1244,1244
ALEXNUMB,Magic Pairs,13219,1245,1245
AXNODR,Dazzling AXNODR Challenge ,13184,1246,1246
GARDENSQ,Garden Squares,1331,1246,1246
WALK,Walk,11059,1247,1247
LIFTME,Lift Requests,13288,1247,1247
TIDRICE,Popular Rice Recipe,3446,1247,1247
BRKBKS,Breaking Bricks,17882,1247,1247
STONES,Jewels and Stones,21401,1248,1248
NOFIX,Avoid Fixed Points,14946,1250,1250
CHFMOT18,Chef and Demonetisation,11637,1250,1250
AMSGAME1,Subtraction Game 1,9075,1250,1250
SPLITIT,Split the Str Ing,9791,1251,1251
CHEFSUM,Little Chef and Sums,17252,1252,1252
TOTR,Tourist Translations,11160,1252,1252
CHEFDETE,Chef-Detective,9418,1253,1253
TWOSTR,Chef and the Wildcard Matching,34023,1254,1254
GMINEQ,Geometric Mean Inequality,9713,1254,1254
MAX_DIFF,The Two Dishes,22088,1254,1254
CBARG,Chef and Memory Limit,7263,1255,1255
CNOTE,Chef and Notebooks,32303,1255,1255
LKDNGOLF,Golf,26122,1256,1256
DRAGNXOR,Open the Dragon Scroll,6174,1257,1257
HIRETEST,Hiring Test,12754,1260,1260
BIGSALE,A Big Sale,15252,1260,1260
STICKS,Sticks,18319,1261,1261
LEPERMUT,Little Elephant and Permutations,13111,1261,1261
BINSTRING,Distinct Binary Strings,12644,1262,1262
SUBSTADD,Chef and Subset Additions,10914,1263,1263
BEGGASOL,Gasoline Introduction,10888,1263,1263
CARVANS,Carvans,49853,1264,1264
PUSH7PA,Pushpa ,8914,1266,1266
MAKEEQUAL,Make them equal,16005,1267,1267
RD19,Minimum Deletions,8506,1267,1267
STFOOD,Chef and Street Food,23465,1268,1268
COMMUTE,The Morning Commute,2926,1268,1268
S10E,Phone Prices,16764,1269,1269
HCAGMAM1,Chef And Salary Pay,13320,1269,1269
CHFICRM,Chef and Icecream,28739,1269,1269
VILLINE,Recruit Villagers,5104,1270,1270
HELPLIRA,Helping Lira,5565,1270,1270
REDALERT,Red Alert,9324,1271,1271
DRGNBOOL,Fierce Battles,4299,1271,1271
MINFD,Chef and Fixed Deposits,13574,1271,1271
EQUINOX,Equinox Strings,13214,1272,1272
CHEALG,Check Algorithm,6670,1273,1273
WWALK,Weird Walk,11229,1274,1274
POPGATES,At the Gates,7458,1275,1275
AMMEAT,Andrew and the Meatballs,5650,1275,1275
RIGHTRI,Chef and The Right Triangles,12036,1275,1275
PLMU,Plus Multiply,16224,1277,1277
HRDSEQ,Hard Sequence,11497,1278,1278
ABOVEAVG,Beat the Average,7798,1278,1278
FANCY,Fancy Quotes,17804,1279,1279
ICL1801,Matrix Game,1102,1279,1279
RRCOPY,Copy-Paste,14194,1280,1280
MAX2,Max power,5224,1282,1282
ANTIPAL,Chef and Pal,7502,1282,1282
PPATTERN,Print Pattern,6421,1283,1283
CHEFCHR,Chef And His Characters,11480,1283,1283
SPELLBOB,Spell Bob,11557,1283,1283
CHEFFAV,Favourite String of Chef,6786,1284,1284
LEBOMBS,Little Elephant and Bombs,10379,1284,1284
LCPESY,Longest Common Pattern,8295,1284,1284
NAME2,Your Name is Mine,12065,1285,1285
FALSNUM,False Number,14908,1286,1286
